Order ID,Payment Method,Card Issuer
2213824,cashless,NOVO BANCO S.A.
2223824,cashless,BANCO COMERCIAL PORTUGUES S.A.
2233824,cashless,BANCO CTT S.A.
251324,cashless,JPMORGAN CHASE BANK N.A.
2243824,cashless,BANCO COMERCIAL PORTUGUES S.A.
2253825,cashless,NOVO BANCO S.A.
2263825,cashless,BANCO SANTANDER TOTTA S.A.
2273825,cashless,NOVO BANCO S.A.
2283825,cashless,REVOLUT LTD
2293825,cashless,BANCO CTT S.A.
2303825,cashless,BANCO SANTANDER TOTTA S.A.
261325,cashless,
2313825,cashless,MONTEPIO GERAL - CAIXA ECONOMI
2323825,cashless,NOVO BANCO S.A.
2333825,cashless,BANCO COMERCIAL PORTUGUES S.A.
2343826,cashless,BANCO COMERCIAL PORTUGUES S.A.
2353826,cashless,BANCO COMERCIAL PORTUGUES S.A.
2363826,cashless,AXA BANQUE
2373826,cashless,REVOLUT PAYMENTS UAB
2383826,cashless,CAIXA GERAL DE DEPOSITOS SA
2393826,cashless,BANQUE FEDERATIVE DU CREDIT MU
2403826,cashless,BANCO COMERCIAL PORTUGUES S.A.
2413826,cashless,BANCO COMERCIAL PORTUGUES S.A.
2423826,cashless,BANCO COMERCIAL PORTUGUES S.A.
271326,cashless,KEYBANK NATIONAL ASSOCIATION
2433827,cashless,BARCLAYS BANK UK PLC
2443827,cashless,NOVO BANCO S.A.
2453827,cashless,BANCO COMERCIAL PORTUGUES S.A.
281327,cashless,
2463827,cashless,CAISSE FEDERALE DU CREDIT MUTUEL OCEAN
2473827,cashless,BANCO SANTANDER TOTTA S.A.
2483827,cashless,MONTEPIO GERAL - CAIXA ECONOMI
2493827,cashless,BANCO BIC PORTUGUES S.A.
2503827,cashless,REVOLUT PAYMENTS UAB
291327,cashless,"BANCORP BANK, THE"
2513828,cashless,BANCO SANTANDER TOTTA S.A.
2523828,cashless,FINECOBANK S.P.A.
2533828,cashless,NOVO BANCO S.A.
2543828,cashless,CAIXA GERAL DE DEPOSITOS SA
2553828,cashless,BANKINTER S.A.
2563828,cashless,INTESA SANPAOLO SPA
2573828,cashless,BANCO SANTANDER TOTTA S.A.
2583828,cashless,BANCO COMERCIAL PORTUGUES S.A.
2593828,cashless,REVOLUT LTD
2603828,cashless,BANCO COMERCIAL PORTUGUES S.A.
2613829,cashless,SWEDBANK AS
2623829,cashless,BANCO COMERCIAL PORTUGUES S.A.
2633829,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
2643829,cashless,BANCO CTT S.A.
2653829,cashless,BANCO COMERCIAL PORTUGUES S.A.
2663829,cashless,BANCO CTT S.A.
2673829,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
2683829,cashless,BANCO SANTANDER TOTTA S.A.
2693829,cashless,BANCO CTT S.A.
2703829,cashless,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO C.R.L.
2713830,cashless,BANCO COMERCIAL PORTUGUES S.A.
2723830,cashless,BANCO COMERCIAL PORTUGUES S.A.
2733830,cashless,BANCO COMERCIAL PORTUGUES S.A.
